Pl.	Dos	Nom	Club	Sx	Cat	Par cat.	5km	10km	12km	15km	Temps
4167.	5631	FRRONDEAU ARNOLD	XVe ATHLETIC CLUB	Homme	M3H	241	0:23:18	0:46:36	0:59:14	1:11:21	1:41:24
4168.	7814	FRFOURNIER JULES		Homme	SEH	1950	0:24:12	0:47:43	1:00:09	1:11:39	1:41:24
4169.	3648	FRKALFA ALEXIS		Homme	SEH	1951	0:24:13	0:47:39	1:00:11	1:11:59	1:41:24
4170.	9757	FRTAUZIN-FIN MARION	CS CLICHY ATHLETISME	Femme	SEF	295	0:24:46	0:48:24	1:01:03	1:12:50	1:41:24
4171.	6396	FRARREST ANTHONY		Homme	M0H	564	0:24:52	0:48:39	1:01:21	1:13:15	1:41:24
4172.	5071	FRPRINCE MARTIN		Homme	SEH	1952	0:25:02	0:49:29	1:02:00	1:14:02	1:41:25
4173.	6469	FRSOUICI TEDJANI	RUN UP NANTERRE	Homme	SEH	1953	0:25:10	0:49:23	1:01:40	1:13:22	1:41:26
4174.	5452	FRBAPTISTE MAHIEU		Homme	SEH	1954	0:22:52	0:45:20	0:57:28	1:09:19	1:41:26
4175.	7081	FRCHOCHOIS MIKAËL		Homme	M1H	399	0:24:45	0:48:36	1:00:58	1:12:46	1:41:26
4176.	5702	FRHOEPFFNER HICHAM		Homme	SEH	1955	0:23:50	0:47:11	0:59:16	1:10:54	1:41:26
4177.	5912	FRGUERRIER LANCELOT		Homme	SEH	1956	0:24:38	0:48:09	1:00:24	1:12:03	1:41:26
4178.	798	FRLEJEUNE CHRISTOPHE		Homme	M1H	400	0:24:19	0:47:53	1:00:14	1:11:54	1:41:27
4179.	1476	FRPISSIS LUC		Homme	M3H	242	0:24:41	0:48:10	1:00:33	1:12:23	1:41:27
4180.	9892	FRPLANQUE ISABELLE	S/L AC ST GRATIEN-SANNOIS	Femme	M3F	16	0:23:46	0:47:22	1:00:30	1:12:48	1:41:28
4181.	1013	FRLEMAITRE GAUTHIER		Homme	SEH	1957	0:24:18	0:47:34	0:59:44	1:11:22	1:41:28
4182.	8477	CHIRON THÉO		Homme	SEH	1958	0:24:16	0:47:34	0:59:47	1:11:32	1:41:28
4183.	8775	FRDELRUE MAXIME		Homme	SEH	1959	0:25:25	0:49:18	1:01:38	1:13:19	1:41:28
4184.	5823	FRLE GUYADER RONAN		Homme	M2H	290	0:23:06	0:47:10	0:59:52	1:12:06	1:41:29
4185.	6935	BEAUDEUX THÉO		Homme	SEH	1960	0:24:43	0:47:55	1:00:27	1:12:01	1:41:29
4186.	7675	FRSINDOU-FAURIE MARIN		Homme	SEH	1961	0:24:00	0:47:25	0:59:44	1:11:35	1:41:29
4187.	237	FRRAMÉ ALEXANDRE		Homme	SEH	1962	0:24:21	0:48:02	1:00:46	1:12:36	1:41:29
4188.	5414	FRCORBOLIOU ADRIEN		Homme	ESH	103	0:23:33	0:46:34	0:58:59	1:10:45	1:41:29
4189.	3054	FRDUBOIS CYRIL		Homme	M0H	565	0:25:24	0:49:02	1:01:34	1:13:22	1:41:29
4190.	11147	FRDUCRET LÉA		Femme	SEF	296	0:24:39	0:48:43	1:01:17	1:13:03	1:41:29
4191.	11713	FRBARBEY ELISA		Femme	SEF	297	0:24:21	0:48:21	1:01:16	1:13:08	1:41:30
4192.	235	NLVAN DER TANG DIRK		Homme	SEH	1963	0:24:42	0:47:56	1:00:28	1:12:01	1:41:30
4193.	11459	FRMARIS BROSSARD		Femme	SEF	298	0:24:06	0:47:38	1:00:04	1:12:02	1:41:30
4194.	11524	FRLE TUMELIN JUSTINE		Femme	SEF	299	0:24:16	0:47:28	0:59:44	1:11:30	1:41:30
4195.	3269	FRADLER MAEL		Homme	SEH	1964	0:24:47	0:48:23	1:00:51	1:12:45	1:41:30
4196.	8064	FRSEGULIN LAURENT		Homme	M3H	243	0:23:54	0:47:27	0:59:30	1:11:03	1:41:31
4197.	10978	FRPIEL SACOTTE JULIE		Femme	M1F	25	0:24:44	0:48:21	1:00:52	1:12:41	1:41:31
4198.	7848	FRBAZIN GAUVAIN		Homme	SEH	1965	0:24:52	0:48:33	1:01:00	1:12:54	1:41:31
4199.	12255	FRCOLLIN ALICE		Femme	SEF	300	0:23:56	0:47:18	0:59:59	1:12:00	1:41:31
4200.	6493	FRPERRARD MAXIME		Homme	SEH	1966	0:25:38	0:49:18	1:01:58	1:14:01	1:41:31
4201.	10594	CAPERREAULT ISABELLE		Femme	M0F	56	0:24:05	0:47:22	0:59:53	1:11:50	1:41:32
4202.	7722	FRSAKHO MAMADOU		Homme	M4H	103	0:23:43	0:46:46	1:00:16	1:11:45	1:41:33
4203.	10238	FRBARATTE AURELIE		Femme	M2F	27	0:23:22	0:46:39	0:59:21	1:11:43	1:41:33
4204.	1135	FRBENZINA YANIS	ASA MAISONS-ALFORT	Homme	SEH	1967	0:24:46	0:48:22		1:12:45	1:41:33
4205.	4717	FRANNE GREGOIRE		Homme	SEH	1968	0:25:00	0:48:24	1:00:54	1:12:33	1:41:33
4206.	7171	FRROCHARD LUCAS		Homme	SEH	1969	0:25:39	0:49:18	1:01:58	1:14:03	1:41:33
4207.	8510	FRCABANNES MARTIN		Homme	SEH	1970	0:26:49	0:50:29	1:02:59	1:14:19	1:41:33
4208.	4518	FRROUE XAVIER		Homme	M3H	244	0:23:49	0:47:25	0:59:54	1:11:53	1:41:34
4209.	5835	FRPONGI SÉBASTIEN		Homme	M1H	401	0:24:21	0:47:45	1:00:11	1:11:57	1:41:34
4210.	7770	OLIVIER CYPRIEN		Homme	ESH	104	0:25:49	0:50:10	1:02:14	1:13:33	1:41:34
4211.	5438	FREULER JÉRÔME		Homme	SEH	1971	0:24:11	0:47:41	1:00:11	1:11:57	1:41:35
4212.	3838	FRGUILLIER DE CHALVRON GILLES		Homme	M5H	43	0:24:14	0:47:38	1:00:12	1:12:01	1:41:35
4213.	5915	FRMADOUX ESTEBAN		Homme	SEH	1972	0:25:11	0:48:57	1:01:17	1:12:58	1:41:35
4214.	1510	FRPENNETIER GUILLAUME		Homme	M0H	566	0:24:47	0:48:45	1:01:07	1:12:52	1:41:35
4215.	1215	FRVENCHIARUTTI NICOLAS		Homme	M3H	245	0:24:41	0:48:15			1:41:35
4216.	10167	FRRICARD ELISE		Femme	SEF	301	0:24:01	0:47:27	1:00:03	1:12:05	1:41:35
4217.	7225	FRMALET ALEXANDRE	AC BOULOGNE BILLANCOURT	Homme	M0H	567	0:24:30	0:47:42	1:00:13	1:12:22	1:41:35
4218.	6359	FRWERNERT AMABLE		Homme	SEH	1973	0:25:04	0:48:29	1:01:05	1:12:45	1:41:35
4219.	8488	FRSAVOYE BENJAMIN		Homme	M1H	402	0:23:43	0:46:33	0:59:08	1:11:06	1:41:36
4220.	5917	FRGLEMAIN PAUL		Homme	SEH	1974	0:25:13	0:48:58	1:01:17	1:12:59	1:41:36
4221.	2390	FRCHEVALIER LAURENT		Homme	M4H	104	0:24:22	0:47:57	1:00:30	1:12:28	1:41:36
4222.	5204	FRDISCH FABRICE		Homme	M5H	44	0:24:56	0:48:09	1:00:30	1:12:28	1:41:36
4223.	4933	FRPOTHET JOANN		Homme	SEH	1975	0:24:50	0:47:55		1:12:12	1:41:36
4224.	971	FROLIVIER RAPHAËL		Homme	SEH	1976	0:25:50	0:50:13	1:02:14	1:13:34	1:41:36
4225.	5529	FRLOCTIN VICTOR		Homme	SEH	1977	0:21:42	0:46:14	0:58:48	1:11:02	1:41:37
4226.	3068	FRRONGERE NATHAN		Homme	SEH	1978	0:22:13	0:44:55	0:58:11	1:10:29	1:41:37
4227.	7894	FRSTEINEUR MATTHIEU		Homme	SEH	1979	0:22:52	0:45:29	0:58:36	1:10:49	1:41:37
4228.	8009	FRCARABIN PATRICK		Homme	M4H	105	0:24:42	0:48:15	1:00:39	1:12:22	1:41:37
4229.	4996	FRMATRAY FLORENT		Homme	M1H	403	0:24:53	0:48:31	1:01:07	1:13:02	1:41:37
4230.	6099	FRDE PRÉMONVILLE NICOLAS		Homme	M3H	246	0:24:18	0:48:02	1:00:36	1:12:27	1:41:37
4231.	9874	FRLE GAC MALIKA	TEAM LENGLEN ATHLETIC CLUB	Femme	M0F	57	0:24:19	0:47:55	1:00:33	1:12:35	1:41:38
4232.	7547	FRGEY ANTOINE		Homme	SEH	1980	0:23:28	0:46:27	0:58:52	1:11:12	1:41:38
4233.	1442	FRBOLORE ERIC	FOULEES DE ST GERMAIN EN LAYE	Homme	M3H	247	0:24:09	0:47:46	1:00:18	1:12:10	1:41:38
4234.	8300	FRJOUVION CLÉMENT		Homme	SEH	1981	0:25:18	0:49:14	1:01:41	1:13:27	1:41:38
4235.	10197	FRLEROY ADÈLE		Femme	SEF	302	0:23:55	0:47:30	1:00:11	1:12:09	1:41:38
4236.	9133	FRVAILLANT JEANNE		Femme	SEF	303	0:23:12	0:46:27	0:59:23	1:11:28	1:41:39
4237.	7311	FRGIRARDET JONATHAN		Homme	M2H	291	0:24:13	0:47:00	0:59:18	1:11:30	1:41:39
4238.	4913	FRSCHMIDT ANTOINE		Homme	M2H	292	0:23:58	0:46:54	0:59:19	1:11:07	1:41:39
4239.	5086	FRSANCHEZ JEAN-GUILLAUME		Homme	M4H	106	0:23:10	0:46:40	0:59:24	1:11:25	1:41:40
4240.	5879	FRALADENISE NICOLAS		Homme	SEH	1982	0:23:35	0:46:48	0:59:20	1:11:29	1:41:40
4241.	402	FRFERREIRO JONATHAN		Homme	SEH	1983	0:24:07	0:47:41	1:00:07	1:11:53	1:41:40
4242.	753	FRBOUCHEPILLON ARTHUR		Homme	M0H	568	0:24:27	0:47:57	1:00:16	1:12:13	1:41:40
4243.	927	FRRIEU LOUIS		Homme	SEH	1984	0:25:55	0:49:40		1:14:07	1:41:40
4244.	926	FRROCHETTE BENJAMIN		Homme	SEH	1985	0:25:51	0:49:41	1:02:14	1:14:06	1:41:40
4245.	10593	COSAAVEDRA STEPHANY		Femme	SEF	304	0:23:36	0:46:49	0:59:21	1:11:29	1:41:41
4246.	7101	FRROESCH MICHEL		Homme	M4H	107	0:25:03	0:48:02	1:00:11	1:13:05	1:41:41
4247.	2024	FRBUENINCK WILHELMUS		Homme	M1H	404	0:24:25	0:48:16	1:00:49	1:12:42	1:41:41
4248.	3019	FRMARTINS CLAUDE		Homme	M3H	248	0:25:11	0:49:09	1:01:37	1:13:20	1:41:41
4249.	8778	FRFOREST ALEXANDRE		Homme	SEH	1986	0:23:31	0:45:48	0:57:51	1:09:51	1:41:42
4250.	8777	FRRENAULT GREGOIRE		Homme	SEH	1987	0:23:31	0:45:50	0:57:51	1:09:55	1:41:42
4251.	11054	FRSERPIN ISABELLE	CS CLICHY ATHLETISME	Femme	M5F	4	0:24:56	0:48:36	1:00:54	1:12:45	1:41:42
4252.	8187	FRGOUDAL DIMITRI		Homme	SEH	1988	0:24:41	0:48:24		1:13:03	1:41:42
4253.	3452	FRMESSIAS THOMAS		Homme	M1H	405	0:24:56	0:48:05	1:00:39	1:12:35	1:41:42
4254.	3215	FRGONZALEZ YANN		Homme	SEH	1989	0:24:33	0:47:46	1:00:21	1:12:15	1:41:43
4255.	5132	FRSERVAL SYLVAIN		Homme	M2H	293	0:24:05	0:47:21	0:59:55	1:11:46	1:41:43
4256.	5277	FRPETIT ANTOINE		Homme	SEH	1990	0:24:16	0:47:36	0:59:49	1:11:31	1:41:43
4257.	8407	DU CHATELIER MALO		Homme	SEH	1991	0:24:41	0:49:13	1:02:14	1:14:13	1:41:43
4258.	104	FRBEKKARI MOHAMED	ATHLETIC CLUB DE COLOMBES	Homme	M3H	249	0:24:56	0:48:12	1:00:30	1:12:29	1:41:43
4259.	10147	FRDELMOTTE LUDIVINE	ATHLETIC CLUB DE COLOMBES	Femme	M1F	26	0:24:55	0:48:10	1:00:30	1:12:28	1:41:43
4260.	5708	FRLANNEAU AXEL		Homme	SEH	1992	0:25:53	0:49:52	1:02:20	1:14:28	1:41:43
4261.	911	FRLENTINI WESLEY		Homme	M1H	406	0:23:57	0:47:34	1:00:21	1:12:38	1:41:44
4262.	11263	FRD'ARRAS MARIE-FLORENCE		Femme	M0F	58	0:23:59	0:47:23	0:59:44	1:11:46	1:41:44
4263.	4982	FRPOCHELU JEROME	AS VOLTAIRE (CHATENAY-MAL)	Homme	M2H	294	0:25:16	0:49:15	1:01:48	1:13:40	1:41:44
4264.	10146	FRCABANNES LAETITIA	ATHLETIC CLUB DE COLOMBES	Femme	M0F	59	0:24:45	0:48:12	1:00:33	1:12:31	1:41:44
4265.	6937	FRHUSSON VINCENT		Homme	SEH	1993	0:24:20	0:47:54	1:00:31	1:12:26	1:41:45
4266.	9311	FRRONDEAU AUDREY		Femme	SEF	305		0:47:19		1:12:05	1:41:45
4267.	5402	FRDELIN MATHIEU		Homme	M2H	295	0:24:43	0:48:36	1:01:20	1:13:09	1:41:45
4268.	3130	FRROUSSEAU NICOLAS		Homme	ESH	105	0:25:15	0:49:14	1:01:39	1:13:26	1:41:45
4269.	3210	FRCHAPELET ROBIN		Homme	SEH	1994	0:24:23	0:47:47	1:00:34	1:12:37	1:41:45
4270.	307	FRLAFOLIE LOUIS		Homme	M2H	296	0:24:01	0:47:18	0:59:49	1:11:46	1:41:45
4271.	466	FRBOURDIN TRISTAN		Homme	SEH	1995	0:24:54	0:48:35	1:01:04	1:12:58	1:41:45
4272.	9913	FRDESCHAMPS JADE		Femme	SEF	306	0:24:30	0:48:04	1:00:28	1:12:19	1:41:46
4273.	3362	FRLE CAMPION DOMINIQUE		Homme	M3H	250	0:24:43	0:48:28	1:01:03	1:12:44	1:41:46
4274.	5203	FRCABANNES PIERRE	ATHLETIC CLUB DE COLOMBES	Homme	M0H	569	0:24:45	0:48:14	1:00:33	1:12:32	1:41:46
4275.	11446	FRDISTLER CAMILLE		Femme	SEF	307	0:22:53	0:45:38	0:59:29	1:12:18	1:41:47
4276.	11264	***** DOSSARD INCONNU					0:24:23	0:48:09	1:00:36	1:12:17	1:41:47
4277.	10047	FRUMAROVA YANA		Femme	SEF	308	0:25:06		1:01:31	1:13:21	1:41:47
4278.	6034	FRAUBRY CLÉMENT		Homme	SEH	1996	0:24:31	0:47:22	0:59:56	1:11:49	1:41:47
4279.	1087	FRLESAIN YANNICK		Homme	SEH	1997	0:26:15	0:49:56			1:41:47
4280.	249	FRCIRIANI STEPHANE		Homme	M3H	251	0:24:30	0:48:06	1:00:44	1:12:29	1:41:48
4281.	3131	PTNEVES TELMO		Homme	M0H	570	0:24:40	0:48:40	1:01:04	1:12:54	1:41:48
4282.	9211	FRTRIOULEYRE SÉVERINE	US METRO TRANSPORT (PARIS)	Femme	M3F	17	0:24:46	0:48:19	1:00:42	1:12:28	1:41:48
4283.	9296	FRJOUSSE LÉA		Femme	SEF	309	0:24:45	0:48:16	1:00:38	1:12:29	1:41:48
4284.	7618	FRARMANNI THIBAUT		Homme	SEH	1998	0:26:09	0:49:54	1:02:04		1:41:48
4285.	6416	FRCOCQUEREZ BENJAMIN		Homme	M1H	407	0:25:36	0:49:43	1:02:14	1:14:03	1:41:48
4286.	9640	DZGHANIM AMINA		Femme	M0F	60	0:24:14	0:48:13	1:01:03	1:12:53	1:41:49
4287.	7228	FRMONTEL OLIVIER		Homme	M3H	252	0:25:11	0:49:06	1:01:26	1:12:55	1:41:49
4288.	8320	FRSEVETRE--ENGUEHARD ELOI		Homme	ESH	106	0:26:05	0:49:12	1:01:36	1:13:28	1:41:49
4289.	5976	FRDE QUERO FLORIAN		Homme	M0H	571	0:23:07	0:46:57	1:00:04	1:12:10	1:41:50
4290.	9677	FRCHATEAU ALIENOR		Femme	SEF	310	0:24:04	0:47:38	1:00:06	1:11:59	1:41:50
4291.	7250	FRVEYSSIERE CLÉMENT		Homme	M0H	572	0:25:24	0:49:22	1:02:01	1:13:51	1:41:50
4292.	5373	FRSIGONNEAU FLORIAN		Homme	SEH	1999	0:24:23	0:48:10	1:00:42	1:12:45	1:41:51
4293.	4444	HEUVELINE DIMITRI		Homme	M1H	408	0:24:40	0:48:02	1:00:37	1:12:40	1:41:52
4294.	7677	FRPERROTTE ELOI		Homme	SEH	2000	0:24:00	0:47:07	0:59:42	1:11:48	1:41:52
4295.	11172	FREGO CLARA		Femme	SEF	311	0:25:13	0:48:54	1:01:20	1:13:12	1:41:53
4296.	6080	FRGLENISSON RAPHAËL		Homme	SEH	2001	0:24:34	0:48:08	1:00:47	1:12:28	1:41:53
4297.	1307	FRNGUYEN VIET DUNG		Homme	M0H	573	0:25:02	0:48:48	1:01:13	1:12:59	1:41:53
4298.	8395	FRPERAUD FRANÇOIS		Homme	M0H	574	0:25:10	0:48:41	1:01:03	1:12:50	1:41:53
4299.	7630	FRGUESDON AUGUSTIN		Homme	SEH	2002	0:24:20	0:47:28	0:59:47	1:11:39	1:41:53
4300.	1681	FRLÉVÊQUE STANLEY		Homme	M2H	297	0:23:58	0:47:21	0:59:50	1:11:45	1:41:54
4301.	1316	FREL OUARDI LMAHDI		Homme	M1H	409	0:25:07	0:49:07	1:01:42	1:13:43	1:41:54
4302.	8032	FRBOTHOREL JEAN	RUN UP NANTERRE	Homme	M0H	575	0:25:14	0:49:18	1:01:57	1:13:41	1:41:54
4303.	2346	FRMONTEIL SEBASTIEN		Homme	M1H	410	0:24:00	0:47:05	0:59:37	1:11:13	1:41:54
4304.	6445	FRGOUPIL CLÉMENT		Homme	SEH	2003	0:25:54	0:48:44			1:41:54
4305.	10511	FRBROUCKE CÉCILE		Femme	SEF	312	0:23:58	0:47:23	0:59:50	1:11:45	1:41:55
4306.	5369	LUCAS QUENTIN		Homme	M0H	576	0:25:55	0:50:39	1:03:28	1:15:22	1:41:55
4307.	2197	FRGOURMELEN SAMUEL		Homme	JUH	16	0:25:37	0:49:59	1:02:23	1:14:28	1:41:55
4308.	2460	FRLEPRÊTRE QUENTIN		Homme	SEH	2004	0:25:01	0:50:16			1:41:56
4309.	8117	MABENJELLOUN MEHDI		Homme	SEH	2005	0:23:29	0:46:57	0:59:30	1:11:20	1:41:56
4310.	3429	FRRICHE DIDIER		Homme	M0H	577	0:23:51	0:47:28		1:12:11	1:41:56
4311.	3381	FRBIGARRÉ EMMANUEL		Homme	M2H	298	0:24:52	0:48:45	1:01:22	1:13:06	1:41:56
4312.	2966	FRLOMBARD AUGUSTIN		Homme	SEH	2006	0:24:47	0:48:42		1:12:53	1:41:56
4313.	4920	FRDE FREITAS PATRICK		Homme	SEH	2007	0:24:06	0:47:51	1:00:32	1:12:43	1:41:56
4314.	11729	FRRICHE MANDANA	RUN UP NANTERRE	Femme	M0F	61	0:23:51	0:47:27	0:59:57	1:12:12	1:41:57
4315.	2886	FRCORRE ELOUAN		Homme	SEH	2008	0:26:15	0:50:32	1:03:02	1:14:28	1:41:58
4316.	1987	FRCONSTANT JUDICAËL		Homme	SEH	2009	0:22:46	0:44:49	0:56:51	1:09:55	1:41:58
4317.	8725	FRROBINAULT AURELIEN		Homme	M0H	578	0:24:39	0:48:29	1:01:10	1:13:10	1:41:58
4318.	3608	FRLEMAIGRE-VOREAUX PIERRE		Homme	SEH	2010	0:24:38	0:48:36	1:01:13	1:12:58	1:41:58
4319.	8912	FRCELLA VALENTINE		Femme	M0F	62	0:24:24	0:47:55	1:00:33	1:12:29	1:41:58
4320.	6641	FRGRENGUET BAPTISTE		Homme	SEH	2011	0:25:21	0:49:16	1:01:54	1:13:34	1:41:58
4321.	6347	FRROCHEFORT ANTOINE		Homme	SEH	2012	0:21:19	0:44:52	0:58:23	1:11:01	1:41:59
4322.	5014	FRCHAVAGNAN JEAN-FRANÇOIS	AC BOULOGNE BILLANCOURT	Homme	M1H	411	0:23:52	0:47:08	0:59:43	1:11:54	1:41:59
4323.	8289	FRDUBOIS GAUTHIER		Homme	M0H	579	0:24:12	0:47:28	1:00:25	1:12:18	1:41:59
4324.	10547	FRDEBOUSSE CARPAYE LEXANE		Femme	SEF	313	0:24:57	0:48:48	1:01:29	1:13:38	1:41:59
4325.	974	FRGRENARD ANTOINE		Homme	SEH	2013	0:25:12	0:48:54	1:01:35	1:13:19	1:41:59
4326.	6829	FRFABRE BASTIEN		Homme	SEH	2014	0:24:26	0:47:39	1:00:15	1:12:15	1:41:59
4327.	9387	FRBLACHIER GARANCE		Femme	SEF	314	0:25:31	0:49:00	1:01:08		1:41:59
4328.	3080	FRHUMBERT GUILLAUME		Homme	SEH	2015	0:25:35	0:48:59	1:01:07	1:12:51	1:41:59
4329.	6257	FRFROST JAMES		Homme	M1H	412	0:24:06	0:47:54	1:00:48	1:13:19	1:42:00
4330.	6768	FRDUBOIS TIMOTHÉE		Homme	ESH	107	0:24:56	0:48:25	1:00:57	1:12:41	1:42:00
4331.	6767	FRDUBOIS GUILLAUME		Homme	M3H	253	0:24:55	0:48:26	1:00:57	1:12:45	1:42:00
4332.	2318	FRSERGEANT VALENTIN		Homme	SEH	2016	0:25:21	0:48:59	1:02:05	1:13:40	1:42:00
4333.	7422	FRMASSON JELRIK		Homme	M3H	254	0:23:01	0:46:06	0:58:56	1:11:02	1:42:01
4334.	11128	FRBERNARD LAURE		Femme	M1F	27	0:24:00	0:47:12	0:59:50	1:12:43	1:42:01
4335.	5766	FRPICHAT AURÉLIEN		Homme	M1H	413	0:22:53	0:45:23	0:58:48	1:11:46	1:42:01
4336.	7615	FRVINCE SÉBASTIEN		Homme	M1H	414	0:24:25	0:47:23	1:00:14	1:12:10	1:42:01
4337.	8178	FRDUNO VINCENT		Homme	M3H	255	0:24:50	0:48:34	1:01:07	1:12:58	1:42:01
4338.	7287	FRGRILLOT GUILLAUME	AO CHARENTON	Homme	SEH	2017	0:25:17	0:48:32	1:00:39	1:12:31	1:42:01
4339.	4025	FRMOREAU MATTHIEU		Homme	M2H	299	0:23:27	0:46:46		1:11:45	1:42:01
4340.	6777	FRLANGLAIS NICOLAS	FREE RUNNERS LE CLUB	Homme	M4H	108	0:23:20	0:46:28	0:58:51	1:10:58	1:42:02
4341.	2735	FRROUSSELLE PAUL		Homme	SEH	2018	0:24:41	0:48:20	1:00:35	1:12:23	1:42:02
4342.	834	FRNGUYEN RÉMI		Homme	M1H	415	0:24:21	0:47:48	1:00:34	1:12:27	1:42:02
4343.	8695	FRPONCET CHARLES		Homme	SEH	2019	0:26:33	0:49:30	1:01:19	1:13:17	1:42:02
4344.	1742	FRBERTRAND PHILIPPE		Homme	M3H	256	0:24:06	0:47:37	1:00:16	1:12:08	1:42:03
4345.	5984	FRBATMANIAN JÉRÉMY		Homme	SEH	2020	0:23:46	0:46:49	0:59:04	1:10:55	1:42:03
4346.	1557	FRLOUVIOT BENOIT	ES MONTGERON	Homme	M2H	300	0:24:18	0:47:31	1:00:04	1:12:13	1:42:03
4347.	8606	FRCOLIN CAMILLE		Homme	SEH	2021	0:24:56	0:48:55	1:01:21	1:13:08	1:42:03
4348.	2901	FRDEGONZAGUE THOMAS		Homme	SEH	2022	0:24:19	0:47:14	0:59:39	1:12:05	1:42:03
4349.	1741	FRGAUDRIOT TANGUY		Homme	SEH	2023	0:25:23	0:49:24	1:02:12		1:42:03
4350.	9856	FRFAVERY ROMANE	ALENCON RUNNING CLUB	Femme	SEF	315	0:23:43	0:47:11	0:59:41	1:11:52	1:42:04
4351.	12422	FRLAGUILLON CLAUDIA		Femme	M1F	28	0:24:13	0:47:39	1:00:16	1:12:19	1:42:05
4352.	3354	FRGARRIGUES GUILHEM		Homme	M1H	416	0:25:50	0:50:07	1:02:23	1:14:01	1:42:05
4353.	9420	FRBRIZARD JULIE		Femme	SEF	316	0:25:10	0:49:18	1:02:00	1:13:50	1:42:05
4354.	4921	FRMALECOT REMY		Homme	M0H	580	0:24:09	0:47:53	1:00:33	1:12:44	1:42:05
4355.	4957	FRHOROLD VIRGIL		Homme	SEH	2024	0:25:12	0:49:18	1:01:52	1:13:45	1:42:06
4356.	5644	FRCALVEZ MEDERIC		Homme	SEH	2025	0:25:20	0:49:26	1:01:58	1:13:49	1:42:06
4357.	5769	FRLE CUNFF PIERRICK		Homme	M5H	45	0:24:37	0:47:56	1:01:20	1:13:02	1:42:06
4358.	3274	FRMOLLET-VIEVILLE GRÉGORY		Homme	M3H	257	0:22:27	0:44:27	0:56:34	1:08:47	1:42:07
4359.	3828	FRPENNERET AURELIEN		Homme	M1H	417	0:24:37	0:47:41	1:00:10	1:12:01	1:42:07
4360.	11934	FRGUILHEM AURÉLIE		Femme	M2F	28	0:25:21	0:48:50	1:01:16	1:13:05	1:42:08
4361.	10922	FRELDUAYEN FRÉDÉRIQUE		Femme	M3F	18	0:24:34	0:48:17	1:00:50	1:12:47	1:42:08
4362.	7552	FRMANZANO ANGEL		Homme	M3H	258	0:24:39	0:48:19	1:01:10	1:13:06	1:42:08
4363.	8042	FRTOME DAVID	DOMONT ATHLETISME	Homme	M2H	301	0:24:05	0:47:23	1:00:01	1:12:08	1:42:08
4364.	2895	FRBREYSSE ETHAN		Homme	ESH	108	0:24:46	0:48:22	1:00:36	1:12:16	1:42:08
4365.	1231	FRTEISSERENC ANTOINE		Homme	M0H	581	0:25:18	0:48:31		1:12:53	1:42:08
4366.	1230	FRDUPONT MATHIEU		Homme	M0H	582	0:25:25	0:48:34			1:42:08
4367.	11382	GBKUEHN FLORA		Femme	ESF	7	0:25:43	0:49:19	1:01:29	1:13:30	1:42:08
4368.	5838	FRTURJMAN MICKAEL		Homme	M0H	583	0:24:35	0:48:38	1:01:17	1:13:19	1:42:09
4369.	321	FRANDRE JEAN JACQUES		Homme	SEH	2026	0:25:03	0:48:54	1:01:19	1:13:14	1:42:09
4370.	11899	FRAVIGNON JULIE	SC UNIVERSITAIRE DE FRANCE	Femme	SEF	317	0:25:10	0:49:04	1:01:30	1:13:19	1:42:09
4371.	8896	DEFREDE BENTE		Femme	M0F	63	0:23:47	0:47:22	1:00:15	1:12:20	1:42:09
4372.	8051	FRGALANO HUGO		Homme	SEH	2027	0:26:18	0:50:17	1:02:44	1:14:21	1:42:09
4373.	2342	FRLOPEZ VELAZQUEZ CARLOS		Homme	M1H	418	0:23:22	0:45:40	0:57:51	1:10:21	1:42:10
4374.	5700	FRHAJJAJ ABDELATIF		Homme	M2H	302	0:24:01	0:47:36	0:59:55	1:11:42	1:42:10
4375.	8096	FRMULHAUPT THOMAS		Homme	M0H	584	0:24:34	0:47:48		1:12:15	1:42:10
4376.	10921	FRANTOINE ISABELLE		Femme	M3F	19	0:24:19	0:47:39	1:00:15	1:12:10	1:42:10
4377.	9523	FRANDRES VIOLAINE		Femme	SEF	318	0:24:28	0:48:28	1:00:54	1:12:51	1:42:10
4378.	3560	BATTAS XAVIER		Homme	M4H	109	0:23:51	0:47:01	0:59:18	1:11:46	1:42:11
4379.	1207	FRFERTIL ERWAN		Homme	SEH	2028	0:25:06	0:48:56	1:01:22	1:12:55	1:42:11
4380.	5652	FRRICHARD RONAN		Homme	M1H	419	0:24:34	0:48:05	1:00:53	1:12:47	1:42:11
4381.	5662	FRPROPONET FRANCK		Homme	M2H	303	0:25:12	0:49:10	1:01:49	1:13:44	1:42:12
4382.	12216	FRJEANSELME CHLOÉ		Femme	SEF	319	0:24:42	0:48:33	1:01:01	1:13:00	1:42:12
4383.	894	FRCHAMPETIER DE RIBES PIERRE		Homme	M0H	585	0:24:07	0:47:36	1:00:04	1:12:02	1:42:13
4384.	2533	FRCHABRIER ROMAIN		Homme	M0H	586	0:24:47	0:48:14	1:00:48	1:12:43	1:42:13
4385.	3977	FRBRATEAU CYPRIEN		Homme	SEH	2029	0:24:36	0:48:03	1:00:38	1:12:36	1:42:13
4386.	5011	FRTOUZE NICOLAS		Homme	M1H	420	0:24:55	0:48:17	1:01:02	1:12:47	1:42:13
