Pl.	Dos	Nom	Club	Sx	Cat	Par cat.	5km	10km	12km	15km	Temps
98.	6750	FRMOINARD WILFRIED	S/L ABV MONTAIGU VENDEE	Homme	SEH	73	0:17:05	0:33:31	0:42:07	0:50:10	1:10:04
99.	5449	FRNOLF BENOIT	CLAMART CHATILLON RUNNING 92	Homme	SEH	74	0:16:39	0:32:58	0:41:37	0:49:47	1:10:06
100.	2954	FRROSSIGNAUD LOIC		Homme	SEH	75	0:16:49	0:33:02	0:41:34	0:49:41	1:10:06
101.	8142	FRMARCHAUD DAVID		Homme	SEH	76	0:16:36	0:32:46	0:41:30	0:49:55	1:10:07
102.	7575	FRDE GRANDSAIGNES LOUIS		Homme	SEH	77	0:16:50	0:33:03	0:41:35	0:49:43	1:10:10
103.	6837	FRGARREAU MATHIEU	S/L LE MANS A 72	Homme	M1H	6	0:16:50	0:33:01	0:41:33	0:49:46	1:10:11
104.	1333	FRPORCIER GUILLAUME	ES MONTGERON	Homme	M0H	18	0:16:50	0:33:04	0:41:39	0:49:46	1:10:12
105.	5576	FRKERNEIS SÉBASTIEN	S/L AC CESSON	Homme	SEH	78	0:16:52	0:33:16	0:41:56	0:50:16	1:10:14
106.	5397	NURDIN GUILLAUME		Homme	SEH	79	0:16:49	0:33:03		0:49:43	1:10:18
107.	6481	FRSAINT-CRICQ LAZARE	RACING MULTI ATHLON	Homme	JUH	1	0:16:47	0:32:51	0:41:26	0:49:42	1:10:19
108.	6986	FRDAVY RENAUD	NANTES EC	Homme	SEH	80	0:16:36	0:32:45	0:41:17	0:49:28	1:10:31
109.	6607	FRRETHORE KÉVIN	CARQUEFOU AC	Homme	SEH	81	0:16:50	0:33:10	0:41:51	0:50:09	1:10:31
110.	6946	FRBABAUDOU LÉO	SATUC TOULOUSE ATHLE	Homme	SEH	82	0:16:58	0:33:14	0:41:49	0:50:03	1:10:34
111.	5514	FRCOLIN ANTHONY	C.O.S. VILLERS ATHLETISME	Homme	ESH	4	0:16:52	0:33:14	0:41:52	0:50:07	1:10:36
112.	5527	FRJANET VINCENT	ASEC LA POMMERAYE	Homme	SEH	83	0:16:53	0:33:13	0:41:54	0:50:12	1:10:40
113.	6913	FRROUL MATHIEU	BRUZ ATHLETISME	Homme	SEH	84	0:16:50	0:33:06	0:41:39	0:50:00	1:10:43
114.	818	FRLEMERIEL JULIEN	NANTES EC	Homme	M1H	7	0:16:58	0:33:20	0:42:04	0:50:17	1:10:43
115.	5087	FRRANNOU SAMUEL	RACING MULTI ATHLON	Homme	M0H	19	0:16:50	0:33:05	0:41:38	0:49:58	1:10:44
116.	2849	FRHELLIO ALEXANDRE	SO HOUILLES	Homme	M0H	20	0:17:08	0:33:47	0:42:20	0:50:30	1:10:44
117.	6339	FRLE MORVAN ROMAIN	S/L AC ST GRATIEN-SANNOIS	Homme	SEH	85	0:17:13	0:33:46		0:50:47	1:10:45
118.	3222	MARTIN THOMAS	S/L PLM CONFLANS	Homme	M0H	21	0:16:45	0:32:58	0:41:39	0:50:07	1:10:51
119.	3622	FRLEGAVRE FRANÇOIS	S/L COTE DE JADE ATHLETIC CLUB	Homme	M0H	22	0:17:13	0:33:52	0:42:33	0:50:53	1:10:52
120.	5722	FRMOTTE HECTOR		Homme	SEH	86	0:17:08	0:33:44	0:42:26	0:50:46	1:10:53
121.	3851	FRLETESSIER ANTOINE	EA CERGY PONTOISE ATHLETISME *	Homme	SEH	87	0:17:08	0:33:48	0:42:33	0:50:53	1:10:53
122.	4309	FRDEKESTER GUILLAUME	S/L STADE NANTAIS AC	Homme	SEH	88	0:17:09	0:33:47	0:42:28	0:50:42	1:10:53
123.	1091	FRDENIZEAUX PAUL	AO CHARENTON	Homme	M0H	23	0:17:06	0:33:48	0:42:27	0:50:41	1:10:53
124.	2931	FRGAILLARD OLIVIER	ATHLETIC CLUB DU LYONNAIS*	Homme	M1H	8	0:17:05	0:33:38	0:42:26	0:50:44	1:10:55
125.	7525	FRBOISSEL ANTHONY	S/L STADE LAVALLOIS	Homme	SEH	89	0:17:08	0:33:50	0:42:31	0:50:53	1:10:55
126.	6712	FRLECHANTOUX AXEL	LANNION ATHLETISME	Homme	SEH	90	0:17:01	0:33:30	0:42:02	0:50:17	1:10:55
127.	5242	FRFOURNIER TIMOTE	PIERREFITTE MULTI ATHLON VILLETANEUSE	Homme	ESH	5	0:16:49	0:33:12	0:41:58	0:50:22	1:10:57
128.	7232	FRMARTY BRICE	UA VERSAILLES	Homme	M1H	9	0:16:54	0:33:13	0:42:02	0:50:27	1:10:57
129.	5410	FRPALAYSI FRANÇOIS	S/L FRANCONVILLE ATHLETISME VAL D OISE	Homme	SEH	91	0:16:50	0:33:03	0:41:41	0:50:03	1:10:58
130.	5470	FRLACHAISE MATTHIEU	ATHLETISME METZ METROPOLE*	Homme	M0H	24	0:17:09	0:33:51	0:42:32	0:50:48	1:10:58
131.	1055	FRELIASSE ROMAIN		Homme	SEH	92	0:16:37	0:32:58	0:41:36	0:49:57	1:10:59
132.	4307	FRLEPRINCE PAUL	S/L STADE NANTAIS AC	Homme	SEH	93	0:17:07	0:33:47	0:42:28	0:50:40	1:10:59
133.	5535	FRLANCRENON VICTOR	US TALENCE*	Homme	SEH	94	0:17:13	0:33:54	0:42:36	0:50:53	1:10:59
134.	3234	FRJANDET TANGUY	ZOOM VOLT RUNNERS	Homme	SEH	95	0:16:53	0:33:15	0:41:57	0:50:23	1:11:00
135.	4852	FRLEHOUX ANTHONY	BARBES RUNNERS	Homme	M0H	25	0:16:15	0:32:56	0:41:50	0:50:24	1:11:02
136.	6006	FRGRAUWIN OLIVIER	RUN UP NANTERRE	Homme	M1H	10	0:16:49	0:33:04	0:41:42	0:50:11	1:11:04
137.	1668	FRBROSSE VALENTIN	PARIS SPORT CLUB	Homme	SEH	96	0:16:47	0:33:13	0:42:05	0:50:33	1:11:04
138.	809	FRCHEFIRAT ANIS	EA CERGY PONTOISE ATHLETISME *	Homme	M3H	1	0:16:57	0:33:15	0:41:58	0:50:24	1:11:05
139.	4833	FRELIES ERWAN	BARBES RUNNERS	Homme	M0H	26	0:17:06	0:33:37		0:50:40	1:11:05
140.	7991	FRFASOLO FLORIAN		Homme	M0H	27	0:16:38	0:32:59	0:41:40	0:50:14	1:11:08
