Rank;Bib;Name;Club;Sex;Category;Category_Rank;5km;10km;12km;15km;Finish;Time_Behind_Winner;Avg_Pace;0_5_pace;5_10_pace;10_15_pace;15_end_pace;0_5_10_diff;5_10_15_diff;10_15_end_diff;start_end_diff;0_5_average_diff;5_10_average_diff;10_15_average_diff;15_end_average_diff;10k_diff;Cluster_5;Cluster_5_Label;Cluster_8;Cluster_8_Label;Cluster_10;Cluster_10_Label
27;674;LE DOUSSAL ERWANN;SPN VERNON*;Homme;SEH;23;00:15:55;00:31:26;00:39:35;00:47:29;01:07:01;+3:30;190.59581931080248;191.0;186.2;192.6;192.22568476299818;-4.800000000000011;6.400000000000006;-0.37431523700180946;1.2256847629981849;0.40418068919751704;-4.395819310802494;2.0041806891975114;1.629865452195702;3.8128423814991095;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
28;5508;HUGUET RONAN;S/L ESC OCEAN 44 SAINT NAZAIRE;Homme;SEH;24;00:16:02;00:31:41;00:39:54;00:47:44;01:07:02;+3:31;190.6432194150827;192.4;187.8;192.6;189.92947351156306;-4.599999999999994;4.799999999999983;-2.670526488436934;-2.4705264884369456;1.7567805849172942;-2.8432194150827;1.9567805849172828;-0.7137459035196514;1.1647367557815187;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
29;1499;PELLICIER CORENTIN;UNION OLYMPIQUE ALBERTVILLE TARENTAISE*;Homme;SEH;25;00:15:59;00:31:41;00:39:55;00:47:47;01:07:04;+3:33;190.73801962364317;191.8;188.4;193.2;189.76545842217482;-3.4000000000000057;4.799999999999983;-3.434541577825172;-2.0345415778251947;1.0619803763568427;-2.338019623643163;2.46198037635682;-0.972561201468352;1.382729211087394;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
30;1125;HENNION ALEXANDRE;ZOOM VOLT RUNNERS;Homme;SEH;26;00:15:59;00:31:26;00:39:31;00:47:27;01:07:05;+3:34;190.7854197279234;191.8;185.4;192.2;193.20977529932753;-6.400000000000006;6.799999999999983;1.0097752993275435;1.4097752993275208;1.0145802720766142;-5.3854197279233915;1.4145802720765914;2.424355571404135;4.104887649663738;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
31;6910;SOULET MAXENCE;STADE BORDELAIS ATHLETISME*;Homme;SEH;27;00:16:12;00:31:55;00:40:12;00:48:07;01:07:09;+3:38;190.9750201450443;194.4;188.6;194.4;187.30523208135148;-5.800000000000011;5.800000000000011;-7.094767918648529;-7.094767918648529;3.4249798549556942;-2.375020145044317;3.4249798549556942;-3.6697880636928346;-0.6473839593242587;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
32;7931;PRIGENT FABIEN;S/L AS AIX-LES-BAINS;Homme;SEH;28;00:16:01;00:31:43;00:40:04;00:47:59;01:07:17;+3:46;191.35422097928614;192.2;188.4;195.2;189.92947351156306;-3.799999999999983;6.799999999999983;-5.2705264884369285;-2.2705264884369285;0.8457790207138487;-2.9542209792861343;3.8457790207138487;-1.4247474677230798;2.264736755781513;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
33;2741;LE HEN ROBIN;ZOOM VOLT RUNNERS;Homme;SEH;29;00:16:08;00:31:54;00:40:16;00:48:07;01:07:24;+3:53;191.68602170924774;193.6;189.2;194.6;189.76545842217482;-4.400000000000006;5.400000000000006;-4.834541577825178;-3.8345415778251777;1.9139782907522545;-2.4860217092477512;2.9139782907522545;-1.9205632870729232;0.7827292110874282;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
34;6612;BAILLY SIDNEY;US TALENCE*;Homme;MAH1;5;00:16:12;00:31:56;00:40:12;00:48:06;01:07:25;+3:54;191.73342181352797;194.4;188.8;194.0;190.09348860095128;-5.599999999999994;5.199999999999989;-3.906511399048725;-4.3065113990487305;2.6665781864720373;-2.933421813527957;2.2665781864720316;-1.6399332125766932;0.44674430047561486;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
35;1107;NEGRE ARNAUD;ZOOM VOLT RUNNERS;Homme;MAH1;6;00:16:12;00:31:54;00:40:12;00:48:07;01:07:27;+3:56;191.82822202208843;194.4;188.4;194.6;190.2575036903395;-6.0;6.199999999999989;-4.342496309660504;-4.142496309660515;2.57177797791158;-3.42822202208842;2.7717779779115688;-1.5707183317489353;1.0287518451697508;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
36;665;HOUSTIN THIBAUD;EC ORLEANS CERCLE JULES FERRY*;Homme;MAH1;7;00:15:59;00:31:42;00:39:57;00:47:50;01:07:27;+3:56;191.82822202208843;191.8;188.6;193.6;193.0457602099393;-3.200000000000017;5.0;-0.5542397900607057;1.2457602099392773;-0.028222022088414178;-3.2282220220884312;1.7717779779115688;1.217538187850863;3.122880104969653;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
37;1853;MEZZOUR ISMAIL;S/L AVIA CLUB ATHLETISME;Homme;SEH;30;00:16:12;00:32:02;00:40:16;00:48:07;01:07:27;+3:56;191.82822202208843;194.4;190.0;193.0;190.2575036903395;-4.400000000000006;3.0;-2.7424963096605097;-4.142496309660515;2.57177797791158;-1.8282220220884255;1.1717779779115745;-1.5707183317489353;-0.5712481548302435;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
38;4588;DIVERRES MATTHIEU;QUIMPER ATHLETISME;Homme;MAH1;8;00:15:55;00:31:26;00:39:30;00:47:17;01:07:29;+3:58;191.92302223064888;191.0;186.2;190.2;198.78628833852713;-4.800000000000011;4.0;8.58628833852714;7.786288338527129;-0.9230222306488827;-5.723022230648894;-1.723022230648894;6.863266107878246;5.893144169263564;2.0;Steady pace;0.0;Steady + hills struggles;4.0;Steady pace
39;5434;BAVEREL LUCAS;LONS ATHLE 39;Homme;SEH;31;00:16:11;00:31:54;00:40:12;00:48:07;01:07:32;+4:01;192.0652225434896;194.2;188.6;194.6;191.07757913728062;-5.599999999999994;6.0;-3.522420862719372;-3.122420862719366;2.134777456510392;-3.4652225434896025;2.5347774565103975;-0.9876434062089743;1.4387895686403454;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
40;5506;MICHEL ARNAUD;SPORTING CLUB ABBEVILLOIS ATHLETISME;Homme;MAH1;9;00:16:11;00:31:54;00:40:12;00:48:07;01:07:32;+4:01;192.0652225434896;194.2;188.6;194.6;191.07757913728062;-5.599999999999994;6.0;-3.522420862719372;-3.122420862719366;2.134777456510392;-3.4652225434896025;2.5347774565103975;-0.9876434062089743;1.4387895686403454;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
41;2160;PRIME DORIAN;OLYMPIQUE DE MARSEILLE ATHLE*;Homme;SEH;32;00:15:59;00:31:41;00:40:01;00:48:01;01:07:33;+4:02;192.11262264776983;191.8;188.4;196.0;192.22568476299818;-3.4000000000000057;7.599999999999994;-3.774315237001815;0.4256847629981735;-0.31262264776981397;-3.7126226477698197;3.8873773522301747;0.11306211522835952;4.01284238149907;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
